provID,GRADE,SEX,GETHNCC1,OMARKSA1,DVTY1ST,DVSELF,BMI
35,6,1,1,2,3,9,99
35,6,1,1,2,3,7,17.38
35,6,2,1,2,3,8,99
35,6,2,1,2,3,9,18.67
35,6,1,1,2,3,10,18.75
35,6,2,1,2,3,10,99
35,6,1,1,2,3,11,23.8
35,7,2,1,2,3,11,18.25
35,6,1,1,2,3,5,99
35,6,2,1,1,3,12,99
35,6,1,1,3,3,3,28.34
35,6,2,1,2,3,12,99
35,6,1,1,1,3,12,17.71
35,6,2,1,2,3,9,99
35,6,1,1,2,3,11,99
35,6,1,1,2,3,10,99
35,6,2,1,2,3,8,18.17
35,6,1,1,2,3,11,99
35,6,1,1,2,3,12,25.03
35,6,1,1,1,3,9,99
35,6,2,1,2,3,11,99
12,6,2,1,2,3,6,10.43
35,6,2,1,5,3,9,99
35,6,2,1,2,3,4,99
35,6,1,1,2,3,9,16.63
35,6,1,1,2,3,10,99
35,6,2,1,4,3,12,99
35,6,2,1,2,3,9,99
35,6,1,1,2,3,9,99
35,6,2,1,3,3,3,99
35,6,2,1,2,3,11,99
35,6,1,1,2,3,9,20.16
35,6,1,1,3,3,9,99
35,6,2,1,3,3,3,99
35,6,2,1,2,3,11,99
35,6,2,1,2,3,10,17.6
35,6,2,1,4,3,9,99
35,6,1,1,4,3,11,99
35,8,1,1,2,3,9,99
35,7,1,1,2,3,10,99
48,6,1,1,1,3,9,99
48,6,1,1,2,3,8,99
48,6,2,1,1,3,11,99
48,6,2,1,1,3,8,99
48,6,2,1,3,3,4,99
12,6,1,1,1,3,12,14.69
12,6,1,1,2,3,9,15.3
59,6,1,1,1,3,9,99
59,6,1,1,2,3,10,99
59,7,2,1,2,3,11,18.61
59,7,2,1,4,3,8,99
59,6,2,1,3,3,9,99
59,6,2,1,2,3,12,15.47
59,7,2,1,2,3,11,14.36
59,6,1,1,2,3,11,16.16
59,7,2,1,1,3,9,13.95
59,6,1,1,2,3,11,15.62
59,7,2,1,1,3,6,17.92
59,6,1,1,2,3,12,99
59,7,1,1,3,3,6,99
59,7,2,1,3,3,6,99
59,7,2,1,2,3,9,99
59,6,2,1,3,3,11,99
59,6,2,1,2,3,7,16.95
59,7,2,1,1,3,12,99
59,7,1,1,1,3,12,16.14
59,6,1,1,1,3,12,18.02
59,7,2,1,2,3,9,13.96
59,6,1,1,2,3,11,23.44
59,6,1,1,1,3,11,99
59,6,1,1,1,3,11,19.06
59,6,1,1,99,3,9,99
59,6,2,1,2,3,12,99
59,6,1,1,1,3,11,99
59,6,1,1,2,3,10,16.63
59,6,2,1,1,3,8,12.76
59,6,1,1,3,3,7,99
59,6,2,1,2,3,11,99
59,8,1,1,2,3,10,15.33
59,7,2,1,1,3,7,15.32
59,7,2,1,3,3,8,24.33
59,7,1,1,3,3,11,99
59,7,1,1,2,3,11,21.79
59,6,2,1,2,3,11,21.27
59,6,2,1,3,3,5,99
59,6,1,1,2,3,12,99
59,7,2,1,3,3,9,99
59,7,2,1,3,3,6,17.31
59,7,2,1,3,3,7,99
59,7,1,1,3,3,8,19.2
59,6,1,1,2,3,11,99
59,7,2,1,3,3,8,99
59,7,1,1,2,3,10,17.57
59,6,2,1,2,3,10,99
59,8,1,1,1,3,8,20.99
59,8,1,1,1,3,12,17.57
59,8,1,1,3,3,5,27.63
59,8,2,1,3,3,12,22.31
59,8,2,1,2,3,9,19.49
59,7,1,1,2,3,12,99
59,7,1,1,2,3,11,18.35
59,7,2,1,1,3,10,15.06
59,7,1,1,3,3,6,99
59,7,1,1,3,3,10,99
59,7,2,1,2,3,9,36.73
59,6,2,1,1,3,12,23.8
59,6,1,1,1,3,6,20.18
59,6,1,1,2,3,11,19.84
59,6,1,1,2,3,9,99
59,6,2,1,2,3,3,99
59,6,2,1,3,3,11,14.87
59,6,1,1,2,3,11,99
59,6,1,1,1,3,8,99
59,6,1,1,3,3,9,99
59,6,1,1,1,3,10,17.77
47,6,2,1,1,3,11,19.73
47,6,2,1,2,3,11,99
47,6,1,1,1,3,8,99
47,6,2,1,1,3,9,99
47,6,1,1,2,3,8,99
47,6,2,1,1,3,12,99
47,6,2,1,1,3,12,15.23
47,6,2,1,1,3,9,99
47,6,2,1,2,3,8,99
47,6,1,1,3,3,8,99
47,6,1,1,2,3,7,27.34
47,6,1,1,1,3,11,99
47,6,1,1,2,3,11,99
47,6,2,1,2,3,11,99
47,6,1,1,1,3,12,99
47,6,1,1,1,3,10,25.5
48,6,2,1,1,3,12,25.53
48,6,2,1,2,3,6,25.68
48,6,2,1,3,3,11,99
48,6,2,1,1,3,11,99
48,6,1,1,2,3,7,99
48,6,2,1,1,3,12,99
46,6,2,1,1,3,11,17.14
46,6,2,1,3,3,3,17.39
46,6,1,1,1,3,12,15.01
46,6,1,1,1,3,11,13.1
